ticker,cash,totalDebt,netCash,currentRatio,quickRatio,debtToEquity,freeCashFlow,sharesOutCurrent,sharesOut1Y,sharesOut3Y,shareCountGrowth1Y,shareCountGrowth3Y,stockBasedComp,revenue,sbcToRevenue,balanceSheetRiskScore,dilutionRiskScore
A,1758000000.0,3550000128.0,-1792000128.0,2.066,1.468,51.39,855875008.0,282602317.0,285193011.0,295000000.0,-0.009084002412667819,-0.04202604406779661,128000000.0,6948000000.0,0.018422567645365574,69.0,10.0
AA,1352999936.0,2551000064.0,-1198000128.0,1.484,0.72,37.019,1087374976.0,263889875.0,258360908.0,176969091.0,0.0214001686354191,0.49116364619853303,41000000.0,12831000000.0,0.0031953861741095785,52.0,43.3
AAPL,68507000832.0,84710998016.0,-16203997184.0,1.07,0.906,79.548,101090746368.0,14687356000.0,15116786000.0,15943425000.0,-0.028407493497625752,-0.0787828838533753,12863000000.0,416161000000.0,0.030908710811440764,58.0,18.3
ABAT,47894544.0,250415.0,47644129.0,14.882,12.395,0.21,-13681185.0,131709245.0,64061763.0,42942575.0,1.0559728429578188,2.067101705009539,14653807.0,4290224.0,3.415627482387866,87.0,90.0
ABBNY,5926000128.0,9176999936.0,-3250999808.0,1.376,0.793,59.719,475500000.0,1815577775.0,1838192288.0,1865003331.0,-0.012302582894962074,-0.026501591272493016,,33220000000.0,,58.0,5.0
ABBV,5256999936.0,68400001024.0,-63143001088.0,,,,,1768762377.0,1765256986.0,1769181294.0,0.0019857680937114277,-0.00023678579545279772,955000000.0,61160000000.0,0.015614780902550687,40.0,13.3
ABCL,533825984.0,143218000.0,390607984.0,11.324,10.074,14.812,-175997376.0,305264947.0,295757002.0,286851595.0,0.03214782722202465,0.06419121357857537,55792000.0,75128000.0,0.7426259184325418,72.0,63.3
ABSI,144292000.0,5302000.0,138990000.0,6.57,6.338,2.799,-37195376.0,155447428.0,115362265.0,92411103.0,0.3474720524948084,0.6821293432673344,18321000.0,2800000.0,6.543214285714286,72.0,90.0
ABT,7295000064.0,34136000512.0,-26841000448.0,1.388,0.844,64.773,6341125120.0,1741813154.0,1731697991.0,1737795021.0,0.00584118192235057,0.002312201929136497,664000000.0,44328000000.0,0.014979245623533657,58.0,16.7
ACGL,3620999936.0,2728999936.0,892000000.0,0.544,0.27,11.282,6259125248.0,353200000.0,376400000.0,370345997.0,-0.061636556854410204,-0.04629723863330971,148000000.0,19294000000.0,0.0076707784803565875,57.0,5.0
