Ticker,Stock or ETF,Exchange (Blank if etf)
A,Stock,NYSE
AA,Stock,NYSE
AAPL,Stock,NASDAQ
ABAT,Stock,NASDAQ
ABBNY,Stock,
ABBV,Stock,NYSE
ABCL,Stock,NASDAQ
ABSI,Stock,NASDAQ
ABT,Stock,NYSE
ACGL,Stock,NASDAQ
ACHR,Stock,NYSE
ACLS,Stock,NASDAQ
ACN,Stock,NYSE
ADBE,Stock,NASDAQ
ADCT,Stock,NYSE
ADI,Stock,NASDAQ
ADM,Stock,NYSE
ADP,Stock,NASDAQ
ADPT,Stock,NASDAQ
ADSK,Stock,NASDAQ
ADYEY,Stock,
AEHR,Stock,NASDAQ
AEIS,Stock,NASDAQ
AES,Stock,NYSE
AEVA,Stock,NASDAQ
AEYE,Stock,NASDAQ
AFK,ETF,
AGFY,Stock,
AGG,ETF,
AGX,Stock,NYSE
AI,Stock,NYSE
AIG,Stock,NYSE
AIR,Stock,NYSE
AKLI,Stock,
ALAB,Stock,NASDAQ
ALB,Stock,NYSE
ALLO,Stock,NASDAQ
ALLY,Stock,NYSE
ALNY,Stock,NASDAQ
ALTR,Stock,
AMAT,Stock,NASDAQ
AMBA,Stock,NASDAQ
AMD,Stock,NASDAQ
AME,Stock,NYSE
AMGN,Stock,NASDAQ
AMP,Stock,NYSE
AMRN,Stock,NASDAQ
AMRX,Stock,NASDAQ
AMT,Stock,NYSE
AMZN,Stock,NASDAQ
ANET,Stock,NYSE
ANSS,Stock,
AON,Stock,NYSE
AOS,Stock,NYSE
APA,Stock,NASDAQ
APD,Stock,NYSE
APP,Stock,NASDAQ
APPHQ,Stock,
APTV,Stock,NYSE
ARAY,Stock,NASDAQ
ARBE,Stock,NASDAQ
ARCC,Stock,NASDAQ
ARGT,ETF,
ARKG,ETF,
ARKK,ETF,
ARKQ,ETF,
ARKW,ETF,
ARKX,ETF,
ARM,Stock,NASDAQ
ARQQ,Stock,NASDAQ
ARVN,Stock,NASDAQ
ARWR,Stock,NASDAQ
ASML,Stock,NASDAQ
ASTS,Stock,NASDAQ
ASX,Stock,NYSE
ASYS,Stock,NASDAQ
ATEC,Stock,NASDAQ
ATI,Stock,NYSE
AUTO,Stock,
AVAV,Stock,NASDAQ
AVGO,Stock,NASDAQ
AVNT,Stock,NYSE
AVUV,ETF,
AWK,Stock,NYSE
AXON,Stock,NASDAQ
AXSM,Stock,NASDAQ
AYRO,Stock,
AZN,Stock,NYSE
AZO,Stock,NYSE
B,Stock,NYSE
BA,Stock,NYSE
BABA,Stock,NYSE
BAC,Stock,NYSE
BAK,Stock,NYSE
BASFY,Stock,
BATT,ETF,
BAX,Stock,NYSE
BBAI,Stock,NYSE
BBAR,Stock,NYSE
BBEU,ETF,
BBIO,Stock,NASDAQ
BCE,Stock,NYSE
BDSX,Stock,NASDAQ
BE,Stock,NYSE
BEAM,Stock,NASDAQ
BEEM,Stock,NASDAQ
BFLY,Stock,NYSE
BGM,Stock,NASDAQ
BHP,Stock,NYSE
BHVN,Stock,NYSE
BIDU,Stock,NASDAQ
BIIB,Stock,NASDAQ
BILL,Stock,NYSE
BINC,ETF,
BIOX,Stock,NASDAQ
BITD,Stock,
BITF,Stock,NASDAQ
BITO,ETF,
BITX,ETF,
BKNG,Stock,NASDAQ
BKRKY,Stock,
BKSY,Stock,NYSE
BLDP,Stock,NASDAQ
BLFS,Stock,NASDAQ
BLK,Stock,NYSE
BLOX,ETF,
BLV,ETF,
BMA,Stock,NYSE
BMNR,Stock,NYSEAMERICAN
BMRN,Stock,NASDAQ
BMY,Stock,NYSE
BND,ETF,
BNDX,ETF,
BNGO,Stock,NASDAQ
BOTT,ETF,
BOTZ,ETF,
BP,Stock,NYSE
BPMC,Stock,
BRK.B,Stock,NYSE
BRKR,Stock,NASDAQ
BRKS,Stock,
BSV,ETF,
BSX,Stock,NYSE
BTAI,Stock,NASDAQ
BTG,Stock,NYSEAMERICAN
BTI,Stock,NYSE
BUG,ETF,
BULL,Stock,NASDAQ
BUSE,Stock,NASDAQ
BX,Stock,NYSE
BXSL,Stock,NYSE
BYDD,Stock,
BZAI,Stock,NASDAQ
C,Stock,NYSE
CAE,Stock,NYSE
CAG,Stock,NYSE
CAH,Stock,NYSE
CAI,Stock,NASDAQ
CALX,Stock,NYSE
CAPR,Stock,NASDAQ
CAT,Stock,NYSE
CB,Stock,NYSE
CC,Stock,NYSE
CCJ,Stock,NYSE
CCNE,Stock,NASDAQ
CDNS,Stock,NASDAQ
CDXS,Stock,NASDAQ
CDZI,Stock,NASDAQ
CE,Stock,NYSE
CEG,Stock,NASDAQ
CELH,Stock,NASDAQ
CEVA,Stock,NASDAQ
CFLT,Stock,NASDAQ
CGNX,Stock,NASDAQ
CHD,Stock,NYSE
CHPT,Stock,NYSE
CHPX,ETF,
CHRD,Stock,NASDAQ
CHTR,Stock,NASDAQ
CHWY,Stock,NYSE
CI,Stock,NYSE
CIEN,Stock,NYSE
CL,Stock,NYSE
CLF,Stock,NYSE
CLMB,Stock,NASDAQ
CLOV,Stock,NASDAQ
CLPT,Stock,NASDAQ
CLS,Stock,NYSE
CLSK,Stock,NASDAQ
CMCSA,Stock,NASDAQ
CME,Stock,NASDAQ
CNBS,ETF,
CNC,Stock,NYSE
CNDT,Stock,NASDAQ
CNI,Stock,NYSE
CNQ,Stock,NYSE
COF,Stock,NYSE
COHR,Stock,NYSE
COIN,Stock,NASDAQ
CONY,ETF,
COP,Stock,NYSE
CORT,Stock,NASDAQ
CORZ,Stock,NASDAQ
COST,Stock,NASDAQ
CPNG,Stock,NYSE
CPTN,Stock,
CRBU,Stock,NASDAQ
CRCL,Stock,NYSE
CRDO,Stock,NASDAQ
CRM,Stock,NYSE
CRNX,Stock,NASDAQ
CRS,Stock,NYSE
CRSP,Stock,NASDAQ
CRUS,Stock,NASDAQ
CRWD,Stock,NASDAQ
CRWV,Stock,NASDAQ
