ticker,name,price,rsi14,beta,betaBenchmark,fiftyTwoWeekLow,pctAbove52WeekLow,threeYearLow,threeYearHigh,pctAbove3YearLow,pctBelow3YearHigh,marketCap,enterpriseValue,revenue,eps,ebitda,cash,debt,sharesOutstanding,netShareChange,equity,tangibleBookValue,workingCapital,ocf,fcf,capex,peg,pe,pb,ptbv,ps,forwardPS,forwardPE,forwardRevenue,effectiveTaxRate,institutionalOwnership,growthRate,growthRateSource,buybackYield,dividendYield,payoutRatio,grossMargin,operatingMargin,profitMargin,debtEquity,currentRatio,outputCurrency,quoteCurrency,financialCurrency,quoteFxToUsd,financialFxToUsd,priceRaw,fiftyTwoWeekLowRaw,threeYearLowRaw,threeYearHighRaw,marketCapRaw,revenueRaw,source,yahooTicker,dataStatus,dataAsOf
A,"Agilent Technologies, Inc.",146.85,54.02998899932274,0.8617476838325802,SPY,108.35,0.3553299492385787,98.29258728027344,159.0,0.4940088979575742,0.07641509433962268,41406681088.0,43791253504.0,6948000000.0,5.07,1835000000.0,1789000000.0,3354000000.0,281965813.0,-0.020618556701030927,6741000000.0,1823000000.0,2247000000.0,1559000000.0,1152000000.0,-407000000.0,1.25,28.964497041420117,6.142513141670375,22.71348386615469,5.959510807138745,5.185379195868263,21.711811,7985275430.0,0.09198606271777003,0.95598,0.081,revenueGrowth,0.01026404408256639,0.68,0.1998,0.53648996,0.25559,0.19533001,0.4975522919448153,2.05,USD,USD,USD,1.0,1.0,146.85,108.35,98.29258728027344,159.0,41406681088.0,6948000000.0,yfinance,A,fresh,2026-09-09
AA,Alcoa Corporation,51.74,49.21731882029527,1.708984127780854,SPY,30.71,0.6847932269619017,22.24093246459961,83.6277084350586,1.326341311559369,0.3813055389389404,13654674432.0,14594674688.0,12831000000.0,4.81,1845000000.0,1597000000.0,2707000000.0,263909445.0,0.22027759360855348,6118000000.0,6084000000.0,1668000000.0,1185000000.0,567000000.0,-618000000.0,8.36,10.756756756756758,2.2318853272311214,2.2443580591715975,1.0641940949263502,0.8993040406253331,8.921967,15183601780.0,,0.85988,0.314,revenueGrowth,-0.0,0.8,0.0832,0.19790001,0.18356001,0.09388,0.44246485779666556,1.535,USD,USD,USD,1.0,1.0,51.74,30.71,22.24093246459961,83.6277084350586,13654674432.0,12831000000.0,yfinance,AA,fresh,2026-09-09
AAPL,Apple Inc.,316.22,53.95320448114013,0.691057602377937,SPY,225.95,0.39951316662978553,163.22064208984375,339.78692626953125,0.9373775029382544,0.06935795478733954,4614971719680.0,4636916842496.0,416161000000.0,8.74,144748000000.0,35934000000.0,98657000000.0,14594180000.0,-0.02618091334457634,73733000000.0,73733000000.0,-17674000000.0,111482000000.0,98767000000.0,-12715000000.0,2.52,36.18077803203661,62.59031532258283,62.59031532258283,11.089390211192303,8.767928023986682,33.02783,526346898270.0,0.15610002335586043,0.66431,0.164,revenueGrowth,0.019655808423088204,0.34,0.1204,0.48653,0.32623002,0.27618998,1.3380304612588665,1.003,USD,USD,USD,1.0,1.0,316.22,225.95,163.22064208984375,339.78692626953125,4614971719680.0,416161000000.0,yfinance,AAPL,fresh,2026-09-09
ABAT,American Battery Technology Company,2.81,58.21633285877912,3.7818716790861484,SPY,2.0,0.405,0.7599999904632568,11.329999923706055,2.6973684674484915,0.7519858765293931,383324512.0,345860064.0,4290224.0,-0.53,-41584654.0,7474304.0,8035781.0,136414409.0,0.5673593829382629,70599023.0,69832329.0,15863505.0,-28921158.0,-31469634.0,-2548476.0,,,5.42960080339922,5.4892127684872145,89.34836782415091,12.087680121089809,-20.071428,31712000.0,,0.38608003,6.971,revenueGrowth,,,0.0,-0.42671,-4.4046397,0.0,0.1138228357636054,8.118,USD,USD,USD,1.0,1.0,2.81,2.0,0.7599999904632568,11.329999923706055,383324512.0,4290224.0,yfinance,ABAT,fresh,2026-09-09
ABBNY,ABB Ltd,99.74,52.73212608379103,1.5875478027460117,SPY,67.24,0.48334324806662704,31.240297317504883,109.7300033569336,2.1926712792234744,0.09104167548813215,180655456256.0,726673195008.0,33220000000.0,2.72,7118000000.0,4640000000.0,9090000000.0,1811263902.0,-0.010804970286331712,16087000000.0,5331000000.0,9157000000.0,5469000000.0,4468000000.0,-1001000000.0,2.11,36.66911764705882,11.229903416174551,33.88772392721816,5.438153409271523,4.2947008582697945,27.17711,42064735640.0,0.25245216272712656,0.0031,0.142,revenueGrowth,,0.0124,0.4383,0.40247002,0.16908,0.14086,0.5650525268850625,1.429,USD,USD,USD,1.0,1.0,99.74,67.24,31.240297317504883,109.7300033569336,180655456256.0,33220000000.0,yfinance,ABBNY,fresh,2026-09-09
ABBV,AbbVie Inc.,248.78,50.33803879377451,-0.07996548491376479,SPY,190.75,0.3042201834862385,125.30008697509766,265.9700012207031,0.9854734821488428,0.06463135369330161,439623450624.0,503986454528.0,61160000000.0,3.54,17629000000.0,5229000000.0,67496000000.0,1767117285.0,0.0,-3270000000.0,-91551000000.0,-14227000000.0,19030000000.0,17816000000.0,-1214000000.0,0.36,70.2768361581921,-134.4414222091743,-4.801951378182652,7.188087812688031,5.979678920022065,15.281777,73519574630.0,0.35834470213733516,0.77457,0.102,revenueGrowth,0.00222918044660491,0.027000000000000003,1.9039999,0.72792,0.40035,0.098000005,-20.64097859327217,0.809,USD,USD,USD,1.0,1.0,248.78,190.75,125.30008697509766,265.9700012207031,439623450624.0,61160000000.0,yfinance,ABBV,fresh,2026-09-09
ABCL,AbCellera Biologics Inc.,11.44,61.173709484405464,2.636153405246901,SPY,2.745,3.167577413479053,1.9299999475479126,12.5,4.927461300988455,0.08480000000000004,3707101696.0,3103148288.0,75128000.0,-0.54,-174392000.0,128513000.0,143218000.0,324047363.0,0.014879851606950587,966904000.0,880717000.0,663925000.0,-131295000.0,-174067000.0,-42772000.0,,,3.833991477954378,4.209186033652126,49.34380917900117,141.73278181282228,-16.0,26155570.0,0.17558489822348602,0.36692002,-0.763,revenueGrowth,,,0.0,-1.98877,-0.15500489,-2.48838,0.14812018566476093,0.1277,USD,USD,USD,1.0,1.0,11.44,2.745,1.9299999475479126,12.5,3707101696.0,75128000.0,yfinance,ABCL,fresh,2026-09-09
ABSI,Absci Corporation,8.91,48.52076316307449,3.394308339213297,SPY,2.24,2.977678571428571,1.149999976158142,11.619999885559082,6.747826247584846,0.23321858108853963,1529080832.0,1331767808.0,2800000.0,-0.79,-103163000.0,20025000.0,5302000.0,171614010.0,0.2407206666698718,189449000.0,147935000.0,126808000.0,-92925000.0,-94032000.0,-1107000.0,,,8.071200333599016,10.336166775948897,546.1002971428571,94.70602314569649,-13.196872,16145550.0,,0.871,-0.464,revenueGrowth,,,0.0,0.0,-1.07415085,0.0,0.027986423786876678,0.10627,USD,USD,USD,1.0,1.0,8.91,2.24,1.149999976158142,11.619999885559082,1529080832.0,2800000.0,yfinance,ABSI,fresh,2026-09-09
ABT,Abbott Laboratories,105.52,47.40277397014627,0.028876319602530613,SPY,81.97,0.28730023179211905,81.97532653808594,135.8106689453125,0.2872165864563546,0.22303600431796552,182590046208.0,210359042048.0,44328000000.0,3.09,12075000000.0,8522000000.0,13860000000.0,1730383296.0,0.0005720823798627002,52130000000.0,22569000000.0,9500000000.0,9566000000.0,7395000000.0,-2171000000.0,1.99,34.14886731391586,3.5025905660464223,8.090302902565465,4.119067997834326,3.341340634046032,17.39856,54645744390.0,0.22938814079848807,0.81911004,0.13,revenueGrowth,0.004890737576038108,0.0233,0.7896,0.56847,0.14706999,0.116450004,0.26587377709572224,1.376,USD,USD,USD,1.0,1.0,105.52,81.97,81.97532653808594,135.8106689453125,182590046208.0,44328000000.0,yfinance,ABT,fresh,2026-09-09
ACGL,Arch Capital Group Ltd.,95.71,45.69019313365426,-0.30198910712241916,SPY,82.45,0.1608247422680411,69.81497192382812,109.22020721435547,0.3709093817931307,0.12369695644177232,32659038208.0,33176041472.0,19300000000.0,12.78,5565000192.0,993000000.0,2729000000.0,341229126.0,-0.015453116815086433,24206000000.0,22154000000.0,,6172000000.0,6128000000.0,-44000000.0,1.05,7.489045383411581,1.349212517888127,1.4741824595106978,1.692178145492228,2.0468498487151976,9.809056,15955756710.0,0.15264109258887326,0.94355005,-0.105,revenueGrowth,0.0578400376633651,,0.0,0.38758,0.26584998,0.24396999,0.11274064281583078,0.589,USD,USD,USD,1.0,1.0,95.71,82.45,69.81497192382812,109.22020721435547,32659038208.0,19300000000.0,yfinance,ACGL,fresh,2026-09-09
